dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,CORR_AR2,MAE_Lin,UNC_mean,arch
ecg,20,128,114,0.5985546112060547,1.0875540971755981,-0.1686716079711914,-0.23230567574501038,0.6048170924186707,0.022796694189310074,0.5113206505775452,0.05777797847986221,tanh_pca
ecg,20,129,58,0.5435454845428467,1.0936518907546997,-0.24143433570861816,-0.5066477656364441,0.5917431116104126,0.009535582736134529,0.496732622385025,0.18061645328998566,tanh_pca
ecg,20,130,2,0.6062804460525513,0.992931604385376,-0.04784047603607178,-0.035898711532354355,0.5692833662033081,0.018329834565520287,0.486223042011261,0.10133133083581924,tanh_pca
ecg,20,131,94,0.5783785581588745,1.0918751955032349,-0.18463611602783203,-0.32678112387657166,0.61506187915802,0.004766572266817093,0.5164346098899841,0.08619160950183868,tanh_pca
ecg,20,132,185,0.7467740774154663,1.0982524156570435,0.24367773532867432,0.5149152278900146,0.8278250694274902,-0.15798363089561462,0.6885730028152466,0.532641589641571,tanh_pca
ecg,20,133,57,0.7199428677558899,1.3635646104812622,-0.16588044166564941,-0.13012516498565674,0.8280788660049438,-0.16229911148548126,0.6885730028152466,0.20828811824321747,tanh_pca
ecg,20,134,148,0.5697908401489258,0.8189176321029663,0.3482603430747986,0.6048666834831238,0.626025378704071,-0.0552486814558506,0.5192168354988098,0.524682879447937,tanh_pca
ecg,20,135,90,0.5494472980499268,1.1086664199829102,-0.18582618236541748,-0.3190505802631378,0.6284281015396118,0.04843024164438248,0.5133997201919556,0.0803779736161232,tanh_pca
ecg,20,136,102,0.5546742677688599,1.065554141998291,-0.16142737865447998,-0.2987462282180786,0.6031931638717651,0.08809668570756912,0.5105692148208618,0.22735516726970673,tanh_pca
ecg,20,137,115,0.5749915242195129,1.0786083936691284,-0.17216038703918457,-0.23617495596408844,0.6287354230880737,-0.0005933616776019335,0.528843343257904,0.07705287635326385,tanh_pca
ecg,20,138,59,0.564331591129303,1.0918521881103516,-0.21826910972595215,-0.2798904776573181,0.6252180337905884,-0.04097495600581169,0.5124205350875854,0.2625355124473572,tanh_pca
ecg,20,139,73,0.528972864151001,1.0846341848373413,-0.20440268516540527,-0.4958423674106598,0.586435854434967,0.055723629891872406,0.5026323199272156,0.1062161922454834,tanh_pca
ecg,20,140,85,0.5059279203414917,1.060439944267273,-0.17673420906066895,-0.21349602937698364,0.5891401171684265,0.05543852970004082,0.48632875084877014,0.07203982025384903,tanh_pca
ecg,20,141,97,0.6017186641693115,1.0886480808258057,-0.22111952304840088,-0.34313738346099854,0.5941659212112427,0.006054893136024475,0.5186323523521423,0.054192643612623215,tanh_pca
ecg,20,142,38,0.6688908934593201,1.0018543004989624,-0.06808531284332275,-0.124082051217556,0.6005700826644897,0.012632668949663639,0.49387508630752563,0.10656893253326416,tanh_pca
ecg,20,143,123,0.5542416572570801,1.0407617092132568,-0.13255798816680908,-0.26993802189826965,0.663352906703949,-0.07707731425762177,0.5044468641281128,0.18919312953948975,tanh_pca
ecg,20,144,65,0.5558480024337769,1.0898287296295166,-0.19770312309265137,-0.2654553949832916,0.6308367848396301,0.08219996839761734,0.5200821161270142,0.16827687621116638,tanh_pca
