dataset,gap,arch,N,MAE_mean,MAE_std
chirp,10,softsign_pca,10,0.4412710428237915,0.08701384808148684
chirp,10,tanh_pca,10,0.44284373223781587,0.08608692699617042
chirp,10,lsm_spikes,10,0.45198805034160616,0.08444833578881655
chirp,10,lsm_rates,10,0.4568901598453522,0.08435028565209204
chirp,10,tanh_raw,10,0.5696153044700623,0.09595656193455183
chirp,10,softsign_raw,10,0.5867214858531952,0.09602459651939933
chirp,20,tanh_pca,10,0.4601754754781723,0.10939955885705335
chirp,20,softsign_pca,10,0.46023323833942414,0.10905215620348191
chirp,20,lsm_spikes,10,0.46500868499279024,0.10663972453555229
chirp,20,lsm_rates,10,0.46941712498664856,0.1122781659624595
chirp,20,tanh_raw,10,0.5720225811004639,0.097682523816053
chirp,20,softsign_raw,10,0.583310604095459,0.09831043214520088
chirp,50,tanh_raw,10,0.627067357301712,0.07486075616317113
chirp,50,softsign_raw,10,0.6313812136650085,0.07690787522039352
chirp,50,softsign_pca,10,0.6544836223125458,0.10561147796831112
chirp,50,tanh_pca,10,0.6546082735061646,0.10564768200352477
chirp,50,lsm_spikes,10,0.6561602115631103,0.10625725731061121
chirp,50,lsm_rates,10,0.6576637834310531,0.1057614462133656
ecg,10,lsm_rates,235,0.9091697081606439,0.1352658530974855
ecg,10,lsm_spikes,235,0.9131280097555607,0.13039695978907442
ecg,10,softsign_raw,235,0.9412850501689505,0.06572165069960728
ecg,10,softsign_pca,235,0.9453496364836997,0.10660890949975593
ecg,10,tanh_raw,235,0.9453517185880783,0.0654841208411359
ecg,10,tanh_pca,235,0.9506143529364404,0.11361606971789467
ecg,20,lsm_spikes,235,0.5406513873566973,0.08823255173133693
ecg,20,lsm_rates,235,0.5425996370772098,0.09929394782542948
ecg,20,tanh_pca,235,0.560592572486147,0.07429384078283094
ecg,20,softsign_pca,235,0.5640844178960679,0.07448383014998047
ecg,20,softsign_raw,235,0.5798065319974371,0.04817024192146304
ecg,20,tanh_raw,235,0.5989596550768994,0.051479547753067
ecg,50,softsign_raw,235,0.30071433040689916,0.06472688027803646
ecg,50,tanh_raw,235,0.31331722463699097,0.06752610875110496
ecg,50,lsm_spikes,235,0.31452259719371795,0.0736506845791811
ecg,50,lsm_rates,235,0.31907580868994934,0.0946188996760618
ecg,50,softsign_pca,235,0.3268626663279026,0.0749579560607874
ecg,50,tanh_pca,235,0.3341696025843316,0.07705099913473942
