dataset,gap,A,B,p_raw,p_holm,cohen_dz,cliffs_delta,N
ecg,20,lsm_spikes,tanh_raw,2.5799011889710267e-30,3.6118616645594375e-29,-1.1807304775529432,-0.8638297872340426,235
ecg,20,lsm_spikes,softsign_pca,7.585742759602995e-30,9.861465587483894e-29,-0.8088008497823244,-0.7787234042553192,235
ecg,20,tanh_pca,tanh_raw,4.8774273725861386e-29,5.8529128471033665e-28,-0.9464868031640066,-0.7446808510638298,235
ecg,20,lsm_rates,tanh_raw,1.3413078720329524e-28,1.4754386592362476e-27,-0.9866434398199081,-0.7446808510638298,235
ecg,20,lsm_spikes,tanh_pca,1.7758189032792515e-26,1.7758189032792514e-25,-0.7420706710280145,-0.7361702127659574,235
ecg,20,softsign_pca,tanh_raw,9.114188426201168e-26,8.202769583581051e-25,-0.8517009202025361,-0.6851063829787234,235
ecg,20,lsm_spikes,softsign_raw,3.4279637497392857e-22,2.7423709997914285e-21,-0.7485823633629961,-0.6,235
ecg,20,lsm_rates,softsign_raw,2.0373565687996816e-18,1.426149598159777e-17,-0.6141033727310066,-0.48936170212765956,235
ecg,20,lsm_rates,softsign_pca,1.2731526948913787e-14,7.638916169348272e-14,-0.5596153134322303,-0.39574468085106385,235
ecg,20,softsign_raw,tanh_pca,2.191198917236558e-13,1.0955994586182789e-12,0.4511756444859414,0.3872340425531915,235
ecg,20,lsm_rates,tanh_pca,1.909276473717385e-10,7.63710589486954e-10,-0.48543614507413085,-0.2425531914893617,235
ecg,20,softsign_pca,tanh_pca,8.234687402144545e-10,2.4704062206433634e-09,0.4541485101327623,0.2936170212765957,235
ecg,20,softsign_pca,softsign_raw,1.2460893117649081e-09,2.4921786235298163e-09,-0.36662841522617257,-0.3702127659574468,235
ecg,20,lsm_rates,lsm_spikes,0.04243733416007637,0.04243733416007637,0.11152495837818689,-0.01276595744680851,235
ecg,50,softsign_raw,tanh_raw,3.1806620743546164e-37,4.770993111531925e-36,-1.3976442388956996,-0.8468085106382979,235
ecg,50,lsm_spikes,tanh_pca,4.592709939474846e-33,6.429793915264784e-32,-1.1378281781488762,-0.7361702127659574,235
ecg,50,softsign_pca,tanh_pca,5.525246917314363e-33,7.182820992508672e-32,-1.0735495303483265,-0.7361702127659574,235
ecg,50,lsm_spikes,softsign_pca,3.53306259532559e-18,4.239675114390707e-17,-0.6705792920665622,-0.4978723404255319,235
ecg,50,softsign_raw,tanh_pca,1.1651512471848668e-11,1.2816663719033534e-10,-0.541072416347028,-0.3702127659574468,235
ecg,50,softsign_pca,softsign_raw,5.031444736815262e-08,5.031444736815262e-07,0.42008095237505805,0.25957446808510637,235
ecg,50,lsm_rates,tanh_pca,2.385551369527828e-07,2.1469962325750454e-06,-0.3928564113238642,-0.42127659574468085,235
ecg,50,tanh_pca,tanh_raw,0.00023080545676504378,0.0018464436541203502,0.3085311558950803,0.13191489361702127,235
ecg,50,lsm_rates,softsign_pca,0.002078396509526772,0.014548775566687405,-0.1944736040601994,-0.35319148936170214,235
ecg,50,lsm_spikes,softsign_raw,0.00411931760480313,0.02471590562881878,0.2658148607428962,0.00425531914893617,235
ecg,50,lsm_rates,softsign_raw,0.016517255582611582,0.0825862779130579,0.32181251023784047,-0.00425531914893617,235
ecg,50,softsign_pca,tanh_raw,0.021914720438253387,0.08765888175301355,0.19931841340378606,0.06382978723404255,235
ecg,50,lsm_rates,lsm_spikes,0.25964522995439765,0.778935689863193,0.1440863421077175,-0.1829787234042553,235
ecg,50,lsm_spikes,tanh_raw,0.8091294148753319,0.8091294148753319,0.02088780379491716,-0.13191489361702127,235
ecg,50,lsm_rates,tanh_raw,0.5114430810489234,1.0,0.09397463170350692,-0.3021276595744681,235
