dataset,gap,A,B,N,p_raw,dz,cliffs_delta,p_holm
ecg,20,lsm_spikes,tanh_raw,235,2.5799011889710267e-30,-1.180730477552943,-0.47914893617021276,3.6118616645594375e-29
ecg,20,lsm_spikes,softsign_pca,235,7.585742759602995e-30,-0.8088008497823244,-0.15639655952919873,9.861465587483894e-29
ecg,20,tanh_pca,tanh_raw,235,4.8774273725861386e-29,-0.9464868031640064,-0.40353100950656406,5.8529128471033665e-28
ecg,20,lsm_rates,tanh_raw,235,1.3413078720329524e-28,-0.9866434398199081,-0.42265278406518786,1.4754386592362476e-27
ecg,20,lsm_spikes,tanh_pca,235,1.7758189032792515e-26,-0.7420706710280144,-0.1485740153915799,1.7758189032792514e-25
ecg,20,softsign_pca,tanh_raw,235,9.114188426201168e-26,-0.8517009202025361,-0.38216387505658667,8.202769583581051e-25
ecg,20,lsm_spikes,softsign_raw,235,3.4279637497392857e-22,-0.7485823633629961,-0.3575735626980534,2.7423709997914285e-21
ecg,20,lsm_rates,softsign_raw,235,2.0373565687996816e-18,-0.6141033727310065,-0.3087913082842915,1.426149598159777e-17
ecg,20,lsm_rates,softsign_pca,235,1.2731526948913787e-14,-0.5596153134322303,-0.13090086011770033,7.638916169348272e-14
ecg,20,softsign_raw,tanh_pca,235,2.191198917236558e-13,0.4511756444859414,0.2514984155726573,1.0955994586182789e-12
ecg,20,lsm_rates,tanh_pca,235,1.909276473717385e-10,-0.4854361450741308,-0.12036215482118606,7.63710589486954e-10
ecg,20,softsign_pca,tanh_pca,235,8.234687402144545e-10,0.4541485101327623,0.008528746038931643,2.4704062206433634e-09
ecg,20,softsign_pca,softsign_raw,235,1.2460893117649081e-09,-0.36662841522617257,-0.2387143503847895,2.4921786235298163e-09
ecg,20,lsm_rates,lsm_spikes,235,0.04243733416007637,0.11152495837818678,0.002951561792666365,0.04243733416007637
ecg,50,softsign_raw,tanh_raw,235,3.1806620743546164e-37,-1.3976442388957002,-0.12282480760525125,4.770993111531925e-36
ecg,50,lsm_spikes,tanh_pca,235,4.592709939474846e-33,-1.1378281781488764,-0.15328202806699864,6.429793915264784e-32
