dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,CORR_AR2,MAE_Lin,UNC_mean,arch
ecg,50,109,122,0.24774375557899475,0.5798630714416504,0.2398884892463684,0.7401169538497925,0.3310643434524536,-0.000707425584550947,0.27370762825012207,0.019676782190799713,softsign_raw
ecg,50,110,138,0.267004132270813,0.6397970914840698,0.05489581823348999,0.2793768048286438,0.3263717293739319,-0.04727339744567871,0.2565118074417114,0.019133901223540306,softsign_raw
ecg,50,111,10,0.37832018733024597,0.6579067707061768,0.0006355643272399902,0.12916383147239685,0.3268420100212097,-0.05106445774435997,0.2565118074417114,0.015711164101958275,softsign_raw
ecg,50,112,103,0.28296080231666565,0.6774986386299133,-0.10505497455596924,-0.055672891438007355,0.2997798025608063,-0.035418808460235596,0.25247055292129517,0.027400938794016838,softsign_raw
ecg,50,113,45,0.2615857422351837,0.6486220359802246,-0.0032280683517456055,0.12755313515663147,0.3048821687698364,-0.017007671296596527,0.2630641460418701,0.007051642518490553,softsign_raw
ecg,50,114,119,0.27279433608055115,0.6447585225105286,0.048988163471221924,0.2493545562028885,0.3393809497356415,-0.021341225132346153,0.26311013102531433,0.022841285914182663,softsign_raw
ecg,50,115,53,0.2842752933502197,0.6533181071281433,0.01505666971206665,0.2100534588098526,0.3547765612602234,-0.014315580949187279,0.26271218061447144,0.011918339878320694,softsign_raw
ecg,50,116,47,0.31508687138557434,0.670721709728241,-0.02100968360900879,-0.13670720160007477,0.37727174162864685,-0.01583060249686241,0.28598126769065857,0.013021943159401417,softsign_raw
ecg,50,117,155,0.2274942249059677,0.5383180379867554,0.2489270567893982,0.7818489670753479,0.28063639998435974,-0.0180217232555151,0.24526336789131165,0.015974652022123337,softsign_raw
ecg,50,118,27,0.3364656865596771,0.6217188835144043,-0.0018260478973388672,0.08103784918785095,0.280536025762558,-0.015675028786063194,0.24526336789131165,0.014633175916969776,softsign_raw
ecg,50,119,142,0.22742696106433868,0.5616914629936218,0.21561449766159058,0.7185400724411011,0.28188157081604004,-0.022522835060954094,0.24806606769561768,0.018999246880412102,softsign_raw
ecg,50,120,151,0.24871692061424255,0.5972704291343689,0.16559594869613647,0.5385779142379761,0.3346117436885834,-0.009222710505127907,0.2617856562137604,0.017351394519209862,softsign_raw
ecg,50,121,164,0.2580559551715851,0.60917729139328,0.06531530618667603,0.26501408219337463,0.3092271685600281,-0.02339496836066246,0.2469361424446106,0.019044652581214905,softsign_raw
ecg,50,122,36,0.4112682342529297,0.6420460939407349,-0.0382695198059082,0.1063009575009346,0.309184193611145,-0.02427610196173191,0.2469361424446106,0.029000287875533104,softsign_raw
ecg,50,123,114,0.2804751396179199,0.6562858819961548,-0.024452805519104004,0.09179536253213882,0.30981123447418213,-0.0039452193304896355,0.25133728981018066,0.0183827206492424,softsign_raw
ecg,50,124,53,0.2477136105298996,0.622112512588501,0.024795830249786377,0.3744562566280365,0.3053533434867859,-0.018981751054525375,0.24382591247558594,0.004479064140468836,softsign_raw
ecg,50,125,130,0.2894734740257263,0.6302700042724609,0.03290456533432007,0.1870395690202713,0.3509615957736969,-0.01699185185134411,0.26051172614097595,0.021703312173485756,softsign_raw
ecg,50,126,69,0.3612571954727173,0.7236986756324768,-0.24834823608398438,-0.13816969096660614,0.3413136601448059,-0.021311456337571144,0.25478678941726685,0.07552225142717361,softsign_raw
