dataset,gap,arch,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,MAE_Lin,UNC_mean,N
chirp,50,softsign_raw,0.6313812136650085,0.7025137603282928,-0.03420082330703735,-0.0004992172122001648,0.5340765595436097,0.7786523818969726,0.007481355150230229,10
chirp,50,tanh_pca,0.6546082735061646,0.7415745437145234,-0.22670072317123413,0.06401566490530967,0.5340765595436097,0.7786523818969726,0.1434702217578888,10
chirp,50,tanh_raw,0.627067357301712,0.6976897835731506,-0.02096691131591797,0.037988605350255965,0.5340765595436097,0.7786523818969726,0.010804085247218608,10
ecg,10,lsm_rates,0.9091697081606439,1.3119833413590776,-0.10073432846272246,0.15338421554918935,0.9589183842882197,0.9814664229433587,0.18657087902043093,235
ecg,10,lsm_spikes,0.9131280097555607,1.3251358027153828,-0.12191626315421246,0.20236818508066712,0.9589183842882197,0.9814664229433587,0.19929930268925555,235
ecg,10,softsign_pca,0.9453496364836997,1.3506537262429583,-0.15711857460914774,0.1740353211572275,0.9589183842882197,0.9814664229433587,0.34379874553452144,235
ecg,10,softsign_raw,0.9412850501689505,1.3766438387809916,-0.17982739235492462,-0.04019321350113271,0.9589183842882197,0.9814664229433587,0.0352087651552791,235
ecg,10,tanh_pca,0.9506143529364404,1.3641390371829905,-0.18247035158441421,0.13624828065066855,0.9589183842882197,0.9814664229433587,0.36353350931659656,235
ecg,10,tanh_raw,0.9453517185880783,1.362051618860123,-0.154848505588288,0.03617941675351021,0.9589183842882197,0.9814664229433587,0.032733421972853706,235
ecg,20,lsm_rates,0.5425996370772098,0.9474357974021993,0.04043731689453125,0.06335140548329404,0.6044375343525663,0.5035702714260588,0.12618114545822462,235
ecg,20,lsm_spikes,0.5406513873566973,0.9587127622137679,0.01948352595593067,0.039579621207048284,0.6044375343525663,0.5035702714260588,0.13791742239821148,235
ecg,20,softsign_pca,0.5640844178960679,0.9792227313873616,-0.015101152278007344,0.01756031938253882,0.6044375343525663,0.5035702714260588,0.27650640911244334,235
ecg,20,softsign_raw,0.5798065319974371,0.9723762248424773,0.017035353183746337,0.08919459897232182,0.6044375343525663,0.5035702714260588,0.020698392017189652,235
ecg,20,tanh_pca,0.560592572486147,0.9824684926804076,-0.023367385661348383,0.002308389114121847,0.6044375343525663,0.5035702714260588,0.28516286478397695,235
ecg,20,tanh_raw,0.5989596550768994,0.9706891529103543,0.020175235322181215,0.05006918076505052,0.6044375343525663,0.5035702714260588,0.01887542857352565,235
ecg,50,lsm_rates,0.31907580868994934,0.6357865060897584,-0.03550601157736271,0.1609937005901729,0.31526868127762003,0.2535961107370701,0.1072080306728628,235
ecg,50,lsm_spikes,0.31452259719371795,0.6404418890780591,-0.04469426464527211,0.13511410440377733,0.31526868127762003,0.2535961107370701,0.1133131340740526,235
ecg,50,softsign_pca,0.3268626663279026,0.6525622147194883,-0.0763202393308599,0.09456021934277081,0.31526868127762003,0.2535961107370701,0.2509186663367647,235
ecg,50,softsign_raw,0.30071433040689916,0.633986590770965,0.007811951637268067,0.22403164540437306,0.31526868127762003,0.2535961107370701,0.02842328336109665,235
ecg,50,tanh_pca,0.3341696025843316,0.6557336343095658,-0.08901085752121946,0.08983454733859114,0.31526868127762003,0.2535961107370701,0.26666778728682944,235
ecg,50,tanh_raw,0.31331722463699097,0.63391036961941,0.007311608436259817,0.18896372816129092,0.31526868127762003,0.2535961107370701,0.027487161436534308,235
