dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,CORR_AR2,MAE_Lin,UNC_mean,arch
chirp,10,0,240,0.3036442697048187,0.33299562335014343,0.6483936309814453,0.942476749420166,0.045663364231586456,0.9951178431510925,0.5671055316925049,0.07925521582365036,lsm_spikes
chirp,10,1,149,0.394832044839859,0.4388412535190582,0.3769744038581848,0.6424456238746643,0.04426245763897896,0.9954912662506104,0.6029084920883179,0.21036119759082794,lsm_spikes
chirp,10,2,199,0.45303359627723694,0.5137332081794739,0.4258490800857544,0.8487163782119751,0.05201210826635361,0.9963117241859436,0.7566846609115601,0.4661617875099182,lsm_spikes
chirp,10,3,132,0.46998634934425354,0.5424990653991699,0.45473217964172363,0.674708366394043,0.04860437288880348,0.9974255561828613,0.7547295093536377,0.25144410133361816,lsm_spikes
chirp,10,4,155,0.5841468572616577,0.6415864825248718,0.3881964087486267,0.7209880948066711,0.06800819933414459,0.9962455630302429,0.8731831312179565,0.1528623253107071,lsm_spikes
chirp,10,5,43,0.5302526354789734,0.6035987138748169,0.483140230178833,0.7074193954467773,0.02348269149661064,0.9998415112495422,0.834471583366394,0.29068151116371155,lsm_spikes
chirp,10,6,6,0.5384117364883423,0.626759946346283,0.43143653869628906,0.6942731142044067,0.03514088690280914,0.9995739459991455,0.8637102246284485,0.19354167580604553,lsm_spikes
chirp,10,7,179,0.44989824295043945,0.5012586712837219,0.27663010358810425,0.7313975691795349,0.08911143243312836,0.9861347079277039,0.7496652007102966,0.10825934261083603,lsm_spikes
chirp,10,8,185,0.42661818861961365,0.480297714471817,0.16374367475509644,0.7587134838104248,0.09853310883045197,0.9734688401222229,0.769305408000946,0.08029789477586746,lsm_spikes
chirp,10,9,67,0.3690565824508667,0.4159584045410156,0.42802339792251587,0.7678069472312927,0.03719072416424751,0.9981341361999512,0.6734122037887573,0.112434983253479,lsm_spikes
chirp,20,0,148,0.4397798180580139,0.49608567357063293,0.20861339569091797,0.5904865264892578,0.32835304737091064,0.7195967435836792,0.8116752505302429,0.12573912739753723,lsm_spikes
chirp,20,1,145,0.31231266260147095,0.35730984807014465,0.6282913684844971,0.8686544299125671,0.10094430297613144,0.9785270094871521,0.5756179094314575,0.29570481181144714,lsm_spikes
chirp,20,2,218,0.562178373336792,0.6419466733932495,0.1822904348373413,0.5267539620399475,0.4865199625492096,0.6114734411239624,0.9230729341506958,0.14549867808818817,lsm_spikes
chirp,20,3,28,0.4453887343406677,0.5181529521942139,0.3544226288795471,0.6858678460121155,0.3261867165565491,0.7927315831184387,0.9832935333251953,0.11411907523870468,lsm_spikes
chirp,20,4,208,0.6321510076522827,0.7267801761627197,0.2610244154930115,0.5815251469612122,0.6065660715103149,0.560656726360321,1.1218886375427246,0.15643294155597687,lsm_spikes
chirp,20,5,38,0.5922067165374756,0.6553977727890015,0.4063907265663147,0.8407966494560242,0.07257948815822601,0.9979915618896484,0.8177871704101562,0.1173027902841568,lsm_spikes
chirp,20,6,158,0.5109267234802246,0.5717080235481262,0.3975946307182312,0.6943613886833191,0.2454012930393219,0.916748046875,0.8258336186408997,0.1071823388338089,lsm_spikes
chirp,20,7,179,0.41841062903404236,0.4789089858531952,0.3716631531715393,0.6282296776771545,0.1766098439693451,0.936348557472229,0.6543828248977661,0.0871356874704361,lsm_spikes
chirp,20,8,20,0.39569276571273804,0.44665834307670593,0.5079697966575623,0.7794548869132996,0.1461971253156662,0.9683322310447693,0.7068697214126587,0.1765798032283783,lsm_spikes
chirp,20,9,84,0.34103941917419434,0.3971008360385895,0.510633111000061,0.735135555267334,0.09373202919960022,0.9826571941375732,0.6038154363632202,0.10550487041473389,lsm_spikes
chirp,50,0,35,0.6606464385986328,0.7639044523239136,-0.48511040210723877,-0.14939461648464203,0.5741742849349976,0.048346467316150665,0.851490318775177,0.1751829981803894,lsm_spikes
chirp,50,1,8,0.6594904065132141,0.7498351335525513,-0.6884342432022095,-0.25475630164146423,0.5067086219787598,0.215142160654068,0.6601512432098389,0.15325547754764557,lsm_spikes
chirp,50,2,138,0.7152939438819885,0.8064606189727783,-0.4736599922180176,-0.2512209415435791,0.6188449263572693,0.10747866332530975,0.6970342397689819,0.10124454647302628,lsm_spikes
chirp,50,3,130,0.6591606140136719,0.7454643845558167,0.04832667112350464,0.2580002248287201,0.600323498249054,0.3758241534233093,0.7758808135986328,0.1643231213092804,lsm_spikes
chirp,50,4,63,0.8010627031326294,0.9037998914718628,-0.27664029598236084,-0.10532089322805405,0.6961471438407898,0.21821381151676178,0.8705587983131409,0.11582648009061813,lsm_spikes
chirp,50,5,48,0.5746243000030518,0.6366338133811951,0.43858665227890015,0.8724086284637451,0.35279083251953125,0.8883506655693054,0.8237278461456299,0.0824926495552063,lsm_spikes
chirp,50,6,142,0.7846609354019165,0.8818788528442383,-0.45421087741851807,-0.2787916660308838,0.6656678915023804,0.05927840620279312,0.9538366794586182,0.10097741335630417,lsm_spikes
chirp,50,7,32,0.43038904666900635,0.4891950488090515,0.553770899772644,0.8624787330627441,0.251755952835083,0.9326876997947693,0.6752387881278992,0.12838083505630493,lsm_spikes
chirp,50,8,34,0.6720400452613831,0.7680705785751343,-0.5583615303039551,-0.25019779801368713,0.558091938495636,0.1248989924788475,0.7557029724121094,0.11297299712896347,lsm_spikes
chirp,50,9,93,0.6042336821556091,0.6955746412277222,-0.47699177265167236,-0.12415382266044617,0.5162605047225952,0.12814931571483612,0.7229021191596985,0.10664009302854538,lsm_spikes
