dataset,gap,arch,baseline,N,MAE_EBM_mean,MAE_base_mean,p_raw,dz,cliffs_delta,p_holm
chirp,10,softsign_pca,AR(2),10,0.4362162917852402,0.054200934618711415,0.001953125,4.153461583006126,1.0,0.00390625
chirp,10,softsign_pca,Linear,10,0.4362162917852402,0.744517594575882,0.001953125,-11.749826794549628,-0.98,0.001953125
chirp,20,tanh_pca,AR(2),10,0.46000716686248777,0.2583089880645275,0.001953125,1.4781510284467754,0.66,0.00390625
chirp,20,tanh_pca,Linear,10,0.46000716686248777,0.8024237036705018,0.001953125,-3.346300850473604,-0.94,0.001953125
chirp,50,tanh_raw,AR(2),10,0.6264106154441833,0.5340765595436097,0.00390625,0.623460462186276,0.42,0.00390625
chirp,50,tanh_raw,Linear,10,0.6264106154441833,0.7786523818969726,0.001953125,-1.957482516905825,-0.76,0.00390625
ecg,10,tanh_raw,AR(2),235,0.9435952369202959,0.9589183842882197,0.0006350224712347257,-0.2995932729235127,-0.1314440923494794,0.0006350224712347257
ecg,10,tanh_raw,Linear,235,0.9435952369202959,0.9814664229433587,2.4098685189395578e-21,-0.6840632783967793,-0.3861475780896333,4.8197370378791156e-21
ecg,20,softsign_pca,AR(2),235,0.5617010131795356,0.6044375343525663,2.3141321170743963e-18,-0.5985293964929052,-0.5220280669986419,2.3141321170743963e-18
ecg,20,softsign_pca,Linear,235,0.5617010131795356,0.5035702714260588,2.130990840631526e-25,0.8222272797147728,0.6273426889995473,4.261981681263052e-25
ecg,50,softsign_raw,AR(2),235,0.3197513262642191,0.31526868127762003,0.3559741770629752,0.05803650017726742,-0.15733816206428247,0.3559741770629752
ecg,50,softsign_raw,Linear,235,0.3197513262642191,0.2535961107370701,3.9417030108030066e-28,0.8364609759021168,0.5993119058397465,7.883406021606013e-28
