dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,MAE_AR2,MAE_Lin,UNC_mean,arch
ecg,10,0,53,0.9998542070388794,1.4149984121322632,-0.2442312240600586,0.9780952334403992,0.991486668586731,0.02771403267979622,softsign_raw
ecg,10,1,70,1.0455853939056396,1.4683667421340942,-0.2969028949737549,1.0250517129898071,1.0274240970611572,0.014983025379478931,softsign_raw
ecg,10,2,164,1.0273064374923706,1.4356844425201416,-0.26955389976501465,1.0101288557052612,1.0065456628799438,0.026767250150442123,softsign_raw
ecg,10,3,112,0.9735798835754395,1.4744497537612915,-0.2727741003036499,0.9574877023696899,0.9905315637588501,0.030834948644042015,softsign_raw
ecg,10,4,59,0.9608575105667114,1.4336193799972534,-0.2642998695373535,0.9417179226875305,0.9596951603889465,0.015283266082406044,softsign_raw
ecg,10,5,161,0.8978052139282227,1.261828899383545,0.03763669729232788,0.9613601565361023,1.0352461338043213,0.03286090865731239,softsign_raw
ecg,10,6,33,0.9448423385620117,1.3245785236358643,-0.06045830249786377,0.9547193646430969,1.0352461338043213,0.012337865307927132,softsign_raw
ecg,10,7,52,1.0254685878753662,1.431406021118164,-0.23476994037628174,0.9817485809326172,1.0284199714660645,0.05356981232762337,softsign_raw
ecg,10,8,148,0.9073432087898254,1.293831706047058,-0.012446403503417969,0.9384809732437134,1.0010497570037842,0.037659429013729095,softsign_raw
ecg,10,9,20,0.923262894153595,1.3653647899627686,-0.1274930238723755,0.9422805905342102,1.0010497570037842,0.00704346876591444,softsign_raw
ecg,10,10,44,0.9768702387809753,1.4688273668289185,-0.3356729745864868,0.9471737742424011,0.9965078234672546,0.015506885945796967,softsign_raw
ecg,10,11,136,0.998936653137207,1.4136921167373657,-0.17245864868164062,0.9856148958206177,1.0223727226257324,0.030099987983703613,softsign_raw
ecg,10,12,8,0.9760343432426453,1.3560563325881958,-0.07880592346191406,0.9929319620132446,1.0223727226257324,0.011870201677083969,softsign_raw
ecg,10,13,101,0.9969021081924438,1.4713751077651978,-0.2267674207687378,0.956800103187561,1.018674612045288,0.07736717164516449,softsign_raw
ecg,10,14,120,0.9728302955627441,1.4594779014587402,-0.27251672744750977,0.9538291096687317,0.9969496726989746,0.052556365728378296,softsign_raw
ecg,10,15,133,1.044395089149475,1.427341341972351,-0.18342244625091553,1.0296714305877686,1.0316240787506104,0.03613539785146713,softsign_raw
ecg,10,16,75,1.0066207647323608,1.4558281898498535,-0.2853102684020996,0.9842883348464966,1.0014803409576416,0.0190952830016613,softsign_raw
ecg,10,17,157,0.8786544799804688,1.2513865232467651,0.07985401153564453,0.9499903917312622,1.0125298500061035,0.05072787404060364,softsign_raw
ecg,10,18,29,0.9392199516296387,1.3718042373657227,-0.10575282573699951,0.9497319459915161,1.0125298500061035,0.005248996429145336,softsign_raw
ecg,10,19,45,0.9639967679977417,1.4361845254898071,-0.2814549207687378,0.9489763975143433,0.9766092300415039,0.013889889232814312,softsign_raw
ecg,10,20,144,0.9977329969406128,1.4412904977798462,-0.24127733707427979,0.9703483581542969,0.9923335909843445,0.07156727463006973,softsign_raw
ecg,10,21,16,0.9662650227546692,1.342989206314087,-0.07773196697235107,0.9781008958816528,0.9923335909843445,0.011686270125210285,softsign_raw
ecg,10,22,99,0.9994240999221802,1.4548819065093994,-0.29812049865722656,0.9889557957649231,1.0053374767303467,0.03087572194635868,softsign_raw
ecg,10,23,113,0.9577552080154419,1.46558678150177,-0.31356799602508545,0.9477189779281616,0.9760578870773315,0.011284207925200462,softsign_raw
ecg,10,24,54,0.9212735295295715,1.424381136894226,-0.2785453796386719,0.8860886693000793,0.946820855140686,0.008250785991549492,softsign_raw
ecg,10,25,72,0.9896920323371887,1.449846863746643,-0.29493677616119385,0.9519587755203247,1.0095679759979248,0.133008673787117,softsign_raw
ecg,10,26,96,0.9667587280273438,1.4650028944015503,-0.28818559646606445,0.9421817660331726,0.9896750450134277,0.028638264164328575,softsign_raw
ecg,10,27,180,1.0656354427337646,1.4483203887939453,-0.2239781618118286,0.9933772087097168,1.0435577630996704,0.03471321612596512,softsign_raw
ecg,10,28,52,1.0199843645095825,1.492409110069275,-0.2996312379837036,0.9848855137825012,1.0435577630996704,0.017138991504907608,softsign_raw
