dataset,gap,A,B,p_raw,p_holm,cohen_dz,cliffs_delta,N
chirp,10,tanh_pca,tanh_raw,0.001953125,0.00390625,-2.5669066593976053,-1.0,10
chirp,10,softsign_raw,tanh_raw,0.001953125,0.005859375,6.177988560470425,1.0,10
chirp,10,softsign_raw,tanh_pca,0.001953125,0.0078125,2.879574008451859,1.0,10
chirp,10,softsign_pca,tanh_raw,0.001953125,0.009765625,-2.8248262618067517,-1.0,10
chirp,10,softsign_pca,softsign_raw,0.001953125,0.01171875,-3.151609177811524,-1.0,10
chirp,10,softsign_pca,tanh_pca,0.232421875,0.232421875,-0.5127420105690584,-0.4,10
chirp,20,tanh_pca,tanh_raw,0.001953125,0.00390625,-2.388833095121583,-1.0,10
chirp,20,softsign_raw,tanh_raw,0.001953125,0.005859375,2.510136434454371,1.0,10
chirp,20,softsign_raw,tanh_pca,0.001953125,0.0078125,2.5181678971102066,1.0,10
chirp,20,softsign_pca,tanh_raw,0.001953125,0.009765625,-2.2979836825990683,-1.0,10
chirp,20,softsign_pca,softsign_raw,0.001953125,0.01171875,-2.415520103014143,-1.0,10
chirp,20,softsign_pca,tanh_pca,0.921875,0.921875,0.18833000080574303,-0.2,10
chirp,50,softsign_pca,tanh_pca,0.921875,0.921875,-0.0814360651559058,-0.2,10
chirp,50,softsign_raw,tanh_raw,0.16015625,0.9609375,0.6039415804267373,0.2,10
chirp,50,tanh_pca,tanh_raw,0.4921875,0.984375,0.2571547280490596,0.4,10
chirp,50,softsign_pca,softsign_raw,0.4921875,1.0,0.21136072301192574,0.4,10
chirp,50,softsign_pca,tanh_raw,0.4921875,1.0,0.25654097249661645,0.4,10
chirp,50,softsign_raw,tanh_pca,0.4921875,1.0,-0.2120886372317708,-0.4,10
ecg,10,softsign_raw,tanh_raw,4.117738646287783e-24,2.4706431877726695e-23,0.8192868993904535,0.5148936170212766,235
ecg,10,tanh_pca,tanh_raw,4.9836840570555335e-06,2.4918420285277668e-05,0.11932287428730488,0.4808510638297872,235
ecg,10,softsign_pca,tanh_raw,0.00015297512153337475,0.000611900486133499,0.093270913668093,0.3872340425531915,235
ecg,10,softsign_pca,tanh_pca,0.0015352416055754074,0.0046057248167262225,-0.2303874793089415,-0.01276595744680851,235
ecg,10,softsign_raw,tanh_pca,0.014866207861799454,0.029732415723598908,0.022723384682958078,-0.2680851063829787,235
ecg,10,softsign_pca,softsign_raw,0.26249208829729487,0.26249208829729487,-0.05510954502108021,0.1829787234042553,235
ecg,20,softsign_raw,tanh_pca,5.61253091093731e-29,3.3675185465623863e-28,0.9424750540278147,0.7531914893617021,235
ecg,20,softsign_pca,softsign_raw,7.03888791566145e-29,3.519443957830725e-28,-0.9508172357720789,-0.7531914893617021,235
ecg,20,softsign_pca,tanh_raw,1.9308593151215024e-22,7.72343726048601e-22,-0.7756428954114315,-0.5659574468085107,235
ecg,20,tanh_pca,tanh_raw,1.0895571709403166e-21,3.2686715128209498e-21,-0.7520192908173138,-0.548936170212766,235
ecg,20,softsign_raw,tanh_raw,0.00032985502824993705,0.0006597100564998741,0.30579541758450784,0.10638297872340426,235
ecg,20,softsign_pca,tanh_pca,0.0007616898048915924,0.0007616898048915924,-0.22599170913029917,-0.1829787234042553,235
ecg,50,softsign_pca,tanh_pca,3.479002650215643e-33,2.087401590129386e-32,-0.8640758046981368,-0.7446808510638298,235
ecg,50,softsign_raw,tanh_raw,0.0001824910256124414,0.0009124551280622071,-0.27966207988224645,-0.3021276595744681,235
ecg,50,softsign_raw,tanh_pca,0.007010566009130823,0.028042264036523292,-0.21140755350801246,-0.12340425531914893,235
ecg,50,tanh_pca,tanh_raw,0.02109830595233579,0.06329491785700737,0.17652141529262175,0.08085106382978724,235
ecg,50,softsign_pca,softsign_raw,0.24847194010895113,0.49694388021790226,0.06228752579815367,0.08936170212765958,235
ecg,50,softsign_pca,tanh_raw,0.8449703001092649,0.8449703001092649,-0.001914687710051132,0.03829787234042553,235
